Título,Entidad,Ubicación,Convocatoria,Vacantes,Remuneración,Fecha Inicio,Fecha Fin,Departamento,,UNICOS
MÉDICO ESPECIALISTA EN PEDIATRIA,HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SAN JUAN DE MIRAFLORES,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 7,664.19",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA PARA LA COORDINACIÓN DE BIENESTAR Y RESIDENCIA PARA EL COLEGIO DE ALTO RENDIMIENTO DE LA REGIÓN LIMA PROVINCIAS - SUPLENCIA TEMPORAL (006719),MINISTERIO DE EDUCACION,LIMA - SANTA MARIA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-577,1,"S/. 5,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ASISTENTE MONITOR DE RESIDENCIA PARA EL COLEGIO DE ALTO RENDIMIENTO DE LA REGIÓN LIMA PROVINCIAS - PLAZO DETERMINADO (003460),MINISTERIO DE EDUCACION,LIMA - SANTA MARIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-609,1,"S/. 2,500.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) DOCENTE PARA LA COORDINACIÓN DE INVESTIGACIÓN Y MONOGRAFÍA PARA EL COLEGIO DE ALTO RENDIMIENTO DE LA REGIÓN LIMA PROVINCIAS - PLAZO DETERMINADO (009178),MINISTERIO DE EDUCACION,LIMA - SANTA MARIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-605,1,"S/. 4,500.00",13/04/2026,24/04/2026,0,,
ESPECIALISTA JUDICIAL DE SALA,PODER JUDICIAL,LIMA - HUACHO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 3,722.00",13/04/2026,24/04/2026,0,,
ASISTENTE DEL PROGRAMA VASO DE LECHE - PVL,CONCEJO PROVINCIAL DE HUAROCHIRI MATUCAN,LIMA - MATUCANA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-005,1,"S/. 1,500.00",13/04/2026,24/04/2026,0,,
UN (01) TECNICO ADMINISTRATIVO (AIRSHP: 000402),DIRECCION REGIONAL DE EDUCACION DE LIMA - PROVINCIAS,LIMA - MATUCANA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 1,389.19",13/04/2026,24/04/2026,0,,
UN VIGILANTE,DIRECCION REGIONAL DE EDUCACION DE LIMA - PROVINCIAS,LIMA - BARRANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 1,389.19",13/04/2026,24/04/2026,0,,
CHOFER AIIB,MUNICIPALIDAD DISTRITAL DE SURQUILLO,LIMA - SURQUILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-66,1,"S/. 2,500.00",13/04/2026,24/04/2026,0,,
CHOFER AIIIC,MUNICIPALIDAD DISTRITAL DE SURQUILLO,LIMA - SURQUILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-64,1,"S/. 3,000.00",13/04/2026,24/04/2026,0,,
JEFE(A) DE SECTOR,MUNICIPALIDAD DISTRITAL DE SURQUILLO,LIMA - SURQUILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-62,1,"S/. 5,000.00",13/04/2026,24/04/2026,0,,
OPERADOR(A) DE CÁMARA,MUNICIPALIDAD DISTRITAL DE SURQUILLO,LIMA - SURQUILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-57,2,"S/. 1,600.00",13/04/2026,24/04/2026,0,,
OPERARIO (A) DE LIMPIEZA,MUNICIPALIDAD DISTRITAL DE SURQUILLO,LIMA - SURQUILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-65,6,"S/. 1,850.00",13/04/2026,24/04/2026,0,,
SERENO(A) A PIE,MUNICIPALIDAD DISTRITAL DE SURQUILLO,LIMA - SURQUILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-63,2,"S/. 1,500.00",13/04/2026,24/04/2026,0,,
SERENO(A) CHOFER DE SERENAZGO,MUNICIPALIDAD DISTRITAL DE SURQUILLO,LIMA - SURQUILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-59,8,"S/. 2,000.00",13/04/2026,24/04/2026,0,,
SERENO(A) MOTORIZADO(A),MUNICIPALIDAD DISTRITAL DE SURQUILLO,LIMA - SURQUILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-58,8,"S/. 1,900.00",13/04/2026,24/04/2026,0,,
SUPERVISOR(A) DE LA CENTRAL DE VIDEOVIGILANCI,MUNICIPALIDAD DISTRITAL DE SURQUILLO,LIMA - SURQUILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-60,1,"S/. 2,500.00",13/04/2026,24/04/2026,0,,
SUPERVISOR(A) DE OPERACIONES,MUNICIPALIDAD DISTRITAL DE SURQUILLO,LIMA - SURQUILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-61,2,"S/. 3,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) COORDINADOR (A) EN COMUNICACIONES PARA EL FONDEP PLAZO DETERMINADO (COD AIRHSP 2187),MINISTERIO DE EDUCACION,LIMA - SANTIAGO DE SURCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-540,1,"S/. 7,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS UN (A) COORDINADOR(A) DE GESTION DEL FINANCIAMIENTO PARA EL FONDEP -PLAZO DETERMINADO (CÓDIGO AIRHSP 003330),MINISTERIO DE EDUCACION,LIMA - SANTIAGO DE SURCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-541,1,"S/. 12,000.00",13/04/2026,24/04/2026,0,,
ASISTENTE LEGAL,MINISTERIO DEL INTERIOR,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-49,1,"S/. 3,500.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN ESPECIALISTA DE PROYECTOSDE INVERSIÓN PÚBLICA PARA LA DIRECCION DE PLANIFICACIÓN DE INVERSIONES (CODIGO AIRHSP 001322 ) - SUPLENCIA TEMPORAL.,MINISTERIO DE EDUCACION,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-614,1,"S/. 9,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ABOGADO PARA EL ÁREA CONTENCIOSO ADMINISTRATIVO - LABORAL (CÓDIGO AIRHSP 02289) SUPLENCIA TEMPORAL,MINISTERIO DE EDUCACION,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-558,1,"S/. 6,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA LEGAL PARA EL ÁREA CIVIL DE LA PROCURADURÍA PUBLICA- (CÓDIGO AIRHSP 001274) SUPLENCIA TEMPORAL,MINISTERIO DE EDUCACION,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-557,1,"S/. 7,500.00",13/04/2026,24/04/2026,0,,
ANALISTA LEGAL II,MINISTERIO DEL INTERIOR,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-50,1,"S/. 7,000.00",13/04/2026,24/04/2026,0,,
ANALISTA LEGAL III EN RELACIONES HUMANAS,MINISTERIO DEL INTERIOR,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-52,1,"S/. 8,000.00",13/04/2026,24/04/2026,0,,
ASISTENTE DE PLANILLAS,MINISTERIO DEL INTERIOR,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-51,1,"S/. 2,950.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ANALISTA LEGAL PARA EL ÁREA DE CONTRATACIONES PÚBLICAS Y ARBITRAJES - PLAZO DETERMINADO - (CÓDIGO AIRHSP 001681),MINISTERIO DE EDUCACION,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-559,1,"S/. 5,000.00",13/04/2026,24/04/2026,0,,
ESPECIALISTA EN EXPORTACIÓN DE SERVICIOS II - 2DA CONVOCATORIA,COMISION PARA LA PROMOCION DE EXPORTACI,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-022,1,"S/. 6,000.00",13/04/2026,24/04/2026,0,,
ESPECIALISTA DE INVESTIGACIÓN DE MERCADOS,COMISION PARA LA PROMOCION DE EXPORTACI,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-036,1,"S/. 6,000.00",13/04/2026,24/04/2026,0,,
ESPECIALISTA EN ALIMENTOS I - 2DA CONVOCATORIA,COMISION PARA LA PROMOCION DE EXPORTACI,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-027,1,"S/. 4,500.00",13/04/2026,24/04/2026,0,,
ESPECIALISTA EN PRODUCTOS DE AGRONEGOCIOS II - 2DA CONVOCATORIA,COMISION PARA LA PROMOCION DE EXPORTACI,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-028,1,"S/. 6,000.00",13/04/2026,24/04/2026,0,,
CONTRATACION ADMINISTRATIVA DE SERVICIOS DE UN(A) SECRETARIA PARA LA JEFATURA DE LA OFICINA DE CONTABILIDAD Y CONTROL PREVIO - SUPLENCIA TEMPORAL CODIGO AIRHSP 001337,MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-547,1,"S/. 4,500.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN (A) ESPECIALISTA EN EDUCACIÓN INICIAL II PARA LA DIRECCIÓN DE EVALUACIÓN DOCENTE DE LA DIRECCIÓN GENERAL DE DESARROLLO DOCENTE - SUPLENCIA TEMPORAL - CÓDIGO AIRHSP 006878,MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-567,1,"S/. 7,500.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ABOGADO (A) SENIOR PARA COORDINADOR (A) DEL EQUIPO LEGAL DE DERECHO ADMINISTRATIVO Y PRESUPUESTO PÚBLICO (CÓDIGO AIRHSP 000658) - SUPLENCIA TEMPORAL,MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-539,1,"S/. 14,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ANALISTA DE EVALUACIÓN DE DESEMPEÑO PARA LA DIRECCIÓN DE EVALUACIÓN DOCENTE DE LA DIRECCIÓN GENERAL DE DESARROLLO DOCENTE - SUPLENCIA TEMPORAL - CODIGO AIRHSP 6713,MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-566,1,"S/. 4,500.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ANALISTA EN ESPECIFICACIONES TÉCNICAS PARA LA UNIDAD DE SERVICIO DE ATENCIÓN AL USUARIO DE LA OTIC - (CÓDIGO AIRHSP 001100) SUPLENCIA TEMPORAL,MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-531,1,"S/. 4,500.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ANALISTA II PARA EL SEGUIMIENTO DE LAS UNIVERSIDADES PÚBLICAS CON COMISIÓN ORGANIZADORA PARA LA DICOPRO - SUPLENCIA TEMPORAL (CODIGO AIRHSP 2728),MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-553,1,"S/. 4,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ASISTENTE EN EVALUACIÓN DE EXPEDIENTES DE TITULACIÓN-SUPLENCIA TEMPORAL (CÓDIGO AIRHSP 4052),MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-560,1,"S/. 4,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) COORDINADOR(A) DE COMPENSACIONES PARA LA OFICINA DE GESTIÓN DE PERSONAL (CÓDIGO AIRHSP 002883) - SUPLENCIA TEMPORAL,MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-538,1,"S/. 11,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) COORDINADOR(A) DE TEMAS MULTISECTORIALES (CÓDIGO AIRHSP 00323) - SUPLENCIA TEMPORAL.,MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-536,1,"S/. 10,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) COORDINADOR(A) DEL EQUIPO ADMINISTRATIVO PARA LA DIRECCIÓN TÉCNICO NORMATIVA DE DOCENTES - SUPLENCIA TEMPORAL (COD AIRHSP 006036),MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-542,1,"S/. 9,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA 1 DE ANÁLISIS DE SISTEMAS 03 - (CÓDIGO AIRHSP 002802) SUPLENCIA TEMPORAL,MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-537,1,"S/. 8,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA ADMINISTRATIVO PARA LA OFICINA DE GESTIÓN DE PERSONAL - SUPLENCIA TEMPORAL (COD AIRHSP 002569),MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-530,1,"S/. 6,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA DEL ÁREA DE MATEMATICA 5 PARA LA OFICINA DE MEDICIÓN DE LA CALIDAD DE LOS APRENDIZAJES UMC - PLAZO DETERMINADO (CÓDIGO AIRHSP 8382) - SUPLENCIA TEMPORAL.,MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-548,1,"S/. 7,500.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA EN ASISTENCIA TÉCNICA EN INVERSIONES PÚBLICAS DE EDUCACIÓN SUPERIOR UNIVERSITARIA - SUPLENCIA TEMPORAL (CODIGO AIRHSP 1989),MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-552,1,"S/. 8,500.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA EN DISEÑO DE INSTRUMENTOS DE INVESTIGACIÓN PARA LA UNIDAD DE SEGUIMIENTO Y EVALUACIÓN (CÓDIGO AIRSHP 4109) -SUPLENCIA TEMPORAL,MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-224,1,"S/. 6,500.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA EN EDUCACIÓN AMBIENTAL PARA LA UNIDAD DE EDUCACIÓN AMBIENTAL DE LA DIRECCIÓN DE EDUCACIÓN BÁSICA REGULAR (CÓDIGO AIRSHP: 008325) - SUPLENCIA TEMPORAL.,MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-568,1,"S/. 9,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA EN EDUCACIÓN INTERCULTURAL BILINGÜE AWAJÚN PARA LA OFICINA DE MEDICIÓN DE LA CALIDAD DE LOS APRENDIZAJES (UMC) TIEMPO DETERMINADO (COD AIRSHP 00978) - SUPLENCIA TEMPORAL.,MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-549,1,"S/. 5,500.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA EN GESTIÓN DE RECURSOS HUMANOS DE DOCENTES II - SUPLENCIA TEMPORAL (COD AIRHSP 006845),MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-543,1,"S/. 8,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA EN SISTEMAS PARA LA INTERVENCION RUTAS SOLIDARIAS PARA LA DIRECCIÓN DE GESTION ESCOLAR (CÓDIGO AIRHSP 005489)- SUPLENCIA TEMPORAL,MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-556,1,"S/. 6,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA PARA EL EQUIPO DE DESEMPEÑO 5 PARA LA DIRECCIÓN DE EVALUACIÓN DOCENTE DE LA DIRECCIÓN GENERAL DE DESARROLLO DOCENTE - SUPLENCIA TEMPORAL - CODIGO AIRHSP 8207,MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-565,1,"S/. 7,800.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA PARA FORMULACION DE PROYECTOS DE INVERSION PUBLICA - PIP EN LA UNIDAD FORMULADORA DE LA DIGESUTPA - SUPLENCIA TEMPORAL (CODIGO AIRHSP 6954).,MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-535,1,"S/. 8,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA PEDAGÓGICO 01 DE MATEMÁTICA DE LA DEP ( COD. AIRHSP 008285) - SUPLENCIA TEMPORAL,MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-569,1,"S/. 8,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN (A) ESPECIALISTA DE ASISTENCIA TÉCNICA PARA EL FORTALECIMIENTO DE CAPACIDADES EN INSTANCIAS DESCENTRALIZADAS PARA LA DIFOCA - PLAZO DETERMINADO (COD AIRHSP 009195),MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-533,1,"S/. 8,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN (A) ESPECIALISTA EN FORTALECIMIENTO DE CAPACIDADES PARA LA DIFOCA - PLAZO DETERMINADO (COD AIRHSP 009194),MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-532,1,"S/. 8,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN (A) ESPECIALISTA EN GESTION DE LA CAPACITACION PARA LA DIFOCA - PLAZO DETERMINADO (COD AIRHSP 009196),MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-534,1,"S/. 8,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) COORDINADOR(A) TERRITORIAL PARA LA DIRECCIÓN DE RELACIONES INTERGUBERNAMENTALES (AIRHSP 003492),MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-554,1,"S/. 10,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) COORDINADOR(A) TERRITORIAL PARA LA DIRECCIÓN DE RELACIONES INTERGUBERNAMENTALES (AIRHSP 003493),MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-555,1,"S/. 10,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA DEL ÁREA DE COMUNICACIÓN 6 PARA LA OFICINA DE MEDICIÓN DE LA CALIDAD DE LOS APRENDIZAJES UMC - PLAZO DETERMINADO (CÓDIGO AIRHSP 5508).,MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-546,1,"S/. 6,500.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA EN GESTIÓN DE RECURSOS HUMANOS DE LAS DRE Y UGEL PARA LA DIRECCIÓN DE APOYO A LA GESTIÓN EDUCATIVA DESCENTRALIZADA PLAZO DETERMINADO (COD. AIRHSP 003491),MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-551,1,"S/. 8,000.00",13/04/2026,24/04/2026,0,,
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA EN MONITOREO DE LAS DRE Y UGEL PARA LA DIRECCIÓN DE APOYO A LA GESTIÓN EDUCATIVA DESCENTRALIZADA PLAZO DETERMINADO (COD. AIRHSP 003490),MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-550,1,"S/. 8,000.00",13/04/2026,24/04/2026,0,,
"CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) ESPECIALISTA EN PRESUPUESTO, PLANEAMIENTO Y GESTION DE PROYECTOS DE INVERSION PUBLICA - PLAZO DETERMINADO (CODIGO AIRSHP 003485)",MINISTERIO DE EDUCACION,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-561,1,"S/. 10,000.00",13/04/2026,24/04/2026,0,,
AUXILIAR ASISTENCIAL,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,1,"S/. 2,897.40",13/04/2026,24/04/2026,0,,
DEPARTAMENTO DE PSICOLOGIA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,1,"S/. 5,432.40",13/04/2026,24/04/2026,0,,
ENFERMERA/O ESPECIALISTA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,3,"S/. 5,342.40",13/04/2026,24/04/2026,0,,
ENFERMERA/O ESPECIALISTA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,2,"S/. 5,342.40",13/04/2026,24/04/2026,0,,
ENFERMERA/O ESPECIALISTA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,1,"S/. 7,838.40",13/04/2026,24/04/2026,0,,
ENFERMERA/O ESPECIALISTA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,3,"S/. 5,342.40",13/04/2026,24/04/2026,0,,
ENFERMERA/O ESPECIALISTA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,1,"S/. 7,838.40",13/04/2026,24/04/2026,0,,
ENFERMERA/O ESPECIALISTA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,1,"S/. 5,342.40",13/04/2026,24/04/2026,0,,
ENFERMERA/O ESPECIALISTA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,2,"S/. 5,342.40",13/04/2026,24/04/2026,0,,
ENFERMERA/O ESPECIALISTA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,3,"S/. 5,342.40",13/04/2026,24/04/2026,0,,
ENFERMERA/O ESPECIALISTA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,1,"S/. 5,342.40",13/04/2026,24/04/2026,0,,
MEDICO,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,1,"S/. 6,666.40",13/04/2026,24/04/2026,0,,
MEDICO ESPECIALISTA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,1,"S/. 6,666.40",13/04/2026,24/04/2026,0,,
MEDICO ESPECIALISTA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,1,"S/. 7,290.40",13/04/2026,24/04/2026,0,,
MEDICO ESPECIALISTA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,1,"S/. 6,666.40",13/04/2026,24/04/2026,0,,
MEDICO ESPECIALISTA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,2,"S/. 6,666.40",13/04/2026,24/04/2026,0,,
NUTRICIONISTA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,1,"S/. 3,839.40",13/04/2026,24/04/2026,0,,
OBSTETRA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-1,2,"S/. 5,342.40",13/04/2026,24/04/2026,0,,
OBSTETRA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-1,1,"S/. 6,839.40",13/04/2026,24/04/2026,0,,
PILOTO DE AMBULANCIA,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,1,"S/. 2,955.40",13/04/2026,24/04/2026,0,,
TECNICO ASISTENCIAL,HOSPITAL REGIONAL HERMILIO VALDIZAN,HUANUCO - HUANUCO,276-001,1,"S/. 3,017.40",13/04/2026,24/04/2026,0,,
