Título,Entidad,Ubicación,Convocatoria,Vacantes,Remuneración,Fecha Inicio,Fecha Fin,Departamento,,UNICOS
COORDINADOR(A) DE GESTIÓN DESCENTRALIZADA - SUPLENCIA,"SISTEMA NACIONAL DE EVALUACION, ACREDITACION Y CERTIFICACION DE LA CALIDAD EDUCATIVA",LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-20,1,"S/. 9,000.00",21/04/2026,5/05/2026,0,,MUNICIPALIDAD DISTRITAL  DE VIZCATAN DEL ENE
ANALISTA I EN SEGURIDAD CIUDADANA,MINISTERIO DEL INTERIOR,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-53,2,"S/. 6,000.00",21/04/2026,5/05/2026,0,,MUNICIPALIDAD DISTRITAL DE SAN JOSE DE Q
ANALISTA II EN DISEÑO DE POLÍTICAS PÚBLICAS EN MATERIA DE SEGURIDAD CIUDADANA,MINISTERIO DEL INTERIOR,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-54,1,"S/. 7,000.00",21/04/2026,5/05/2026,0,,"UNIDAD EJECUTORA ""RED DE SALUD SAN MARTIN DE PANGOA"""
ASISTENTE,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-45,4,"S/. 4,000.00",21/04/2026,5/05/2026,0,,MUNICIPALIDAD PROVINCIAL DE PATAZ
ASISTENTE,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-47,1,"S/. 5,000.00",21/04/2026,5/05/2026,0,,UNIDAD EJECUTORA EDUCACION 314 - LA ESPERANZA
ASISTENTE ADMINISTRATIVO,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-38,2,"S/. 5,000.00",21/04/2026,5/05/2026,0,,MINISTERIO PUBLICO - GERENCIA ADMINISTRATIVA DE AMAZONAS
ESPECIALISTA EN CONTRATACIONES PÚBLICAS,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-42,6,"S/. 8,000.00",21/04/2026,5/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL DEL SANTA
ESPECIALISTA LEGAL,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-49,2,"S/. 9,000.00",21/04/2026,5/05/2026,0,,MUNICIPALIDAD PROVINCIAL DE CARHUAZ
ESPECIALISTA LEGAL SENIOR,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-48,2,"S/. 10,000.00",21/04/2026,5/05/2026,0,,GOBIERNO REGIONAL DE APURIMAC
ESPECIALISTA RESPONSABLE,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-44,1,"S/. 8,000.00",21/04/2026,5/05/2026,0,,MUNICIPALIDAD DISTRITAL DE OCOBAMBA
ESPECIALISTA EN CONTROL PATRIMONIAL,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-41,1,"S/. 10,000.00",21/04/2026,5/05/2026,0,,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA
ESPECIALISTA EN GESTIÓN PÚBLICA,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-37,2,"S/. 10,000.00",21/04/2026,5/05/2026,0,,MUNICIPALIDAD DISTRITAL DE VITOR
ESPECIALISTA EN INTEGRACIÓN CONTABLE,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-43,1,"S/. 9,000.00",21/04/2026,5/05/2026,0,,GOBIERNO REGIONAL DE AREQUIPA - UGE SUR
ESPECIALISTA EN SSGG,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-40,1,"S/. 10,000.00",21/04/2026,5/05/2026,0,,MUNICIPALIDAD DISTRITAL DE TAMBO PROVINC
SECRETARIA,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-46,1,"S/. 4,000.00",21/04/2026,5/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL DE LA PROVINCIA DE HUALGAYOC
SECRETARIO(A),UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-39,1,"S/. 4,000.00",21/04/2026,5/05/2026,0,,UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO
ANALISTA LEGAL,INSTITUTO GEOLOGICO MINERO Y METALURGICO,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-13,1,"S/. 5,500.00",21/04/2026,5/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL DE PICHARI-KIMBIRI-VILLA VIRGEN
ESPECIALISTA EN GESTIÓN DE RECURSOS HUMANOS,"SUPERINTENDENCIA NACIONAL DE CONTROL DE SERVICIOS DE SEGURIDAD, ARMAS, MUNICIONES Y EXPLOSIVOS DE US",LIMA - MAGDALENA DEL MAR,D.LEG 1057 - DETERMINADO (SUPLENCIA)-060,1,"S/. 7,000.00",21/04/2026,5/05/2026,0,,UNIDAD DE GESTION EDUCATIVA PARURO
